"id","DistrictCode","District","BlockCode","Block","VillageCode","Village","HabitationCode","Habitation","createdBy"
"00045950-bce2-42e7-9d8a-9610769f2ead","20","Madurai","1","Alanganallur","35","VALAYAPATTI","6","Valayapatti",""
"0007f375-5cbb-4f3d-b095-b22224a7c0f8","20","Madurai","12","USILAMPATTI","10","NAKKALAPATTI","3","Kunjampatti(chikkilipatti)",""
"000dff47-6dac-46b7-8766-2fbc364570c3","20","Madurai","6","MADURAI WEST","22","THENUR","1","Dabedhar santhai",""
"00379323-51a2-4e1a-a070-6af05aa393e3","20","Madurai","5","MADURAI EAST","13","KARSERI","4","Sakkimangalam I bit",""
"00467dda-5d43-4905-817a-4a3cd840a9b2","20","Madurai","4","Kottampatti","21","SENNAKARAMPATTI","11","Othapatti",""
"0049f3fd-eece-4513-a193-85d97883ae29","20","Madurai","6","MADURAI WEST","28","VEERAPANDI","4","Pandi nagar",""
"007cceea-ae93-4dd0-b61a-149fe76e4c38","20","Madurai","12","USILAMPATTI","8","MEIKKILARPATTI","7","S.pudupatti",""
"00a8d2b0-7462-4d17-b0e8-edb1c18b6f2a","20","Madurai","9","T.KALLUPATTI","23","PAPPAIYAPURAM","2","P.ramanathapuram",""
"00c8e3da-1ba8-4baa-bfc5-c664139c1efc","20","Madurai","1","Alanganallur","33","THETHTHUR","4","T. siruthoppoor",""
"00cb6eb5-d92a-48e6-b405-fcb8d69bbf9d","20","Madurai","4","Kottampatti","24","THONTHILINGAPURAM","2","Melpudupatti",""
"00e22b1d-24be-4118-9c09-6650b74b7899","20","Madurai","5","MADURAI EAST","34","TIRUMOHUR","4","Thirumohanpuram",""
"0104c06d-6352-496f-821c-32a3d9adbbb8","20","Madurai","10","Thirumangalam","29","SOWDARPATTY","2","Muthuppatti",""
"0116ac50-15c3-46b0-8020-7d44a87ea24f","20","Madurai","2","Chellampatti","25","THIDIYAN","6","Thidiyan",""
"0128606f-4769-4795-b8b1-694c56aa267e","20","Madurai","10","Thirumangalam","15","MATHIPPANUR","2","Kulippatti",""
"014984cb-2329-4298-8878-89b85bc4df8f","20","Madurai","9","T.KALLUPATTI","18","MOTHAGAM","2","M.karaiyampatti",""
"01e39cf5-161a-4056-8c47-729ede946b04","20","Madurai","1","Alanganallur","32","THANICHIYAM","3","Thanichiyam",""
"01f09a37-3ef1-460a-adb6-02650a86fbb2","20","Madurai","9","T.KALLUPATTI","10","KENJAMPATTY","7","Polampatti",""
"01fab3f7-a946-454b-99f9-7d60336f3511","20","Madurai","4","Kottampatti","14","MANAPPACHERI","6","V.pudur",""
"0230b104-2614-4719-8810-2eac9f6be6d2","20","Madurai","2","Chellampatti","3","AYYANARKULAM","2","A. Ayyankovilpatti",""
"025e6a6d-9ade-4157-bfa5-ffd02b51909d","20","Madurai","10","Thirumangalam","9","KARADIGAL","4","Karadigal",""
"0279258e-6738-4155-95b1-494fd0b57e5a","20","Madurai","2","Chellampatti","5","KANNANUR","5","Samranappatti",""
"02a9f119-a4c3-498f-ac2d-c7d58033a350","20","Madurai","7","Melur","18","NAVINIPATTI","6","Sathiyapuram",""
"02b2215d-768e-4301-954d-73bc25d584b8","20","Madurai","2","Chellampatti","22","SAKKARAPPANAICKANOOR","2","Kolipatti",""
"02c45b91-972f-4970-a322-3f7a3ed2572c","20","Madurai","5","MADURAI EAST","22","OTHAKADAI","9","Pandiyan nagar",""
"034e960f-06c5-4a17-b131-8c754a0547dd","20","Madurai","13","VADIPATTI","20","THENKARAI","3","Melamattaiyan",""
"03684650-1e16-4d9c-9c23-b221b865786e","20","Madurai","10","Thirumangalam","31","THANGALACHERI","2","Thangalacheri",""
"03c16de1-05c8-4fd4-8f94-560bf0f76be0","20","Madurai","5","MADURAI EAST","36","VELLIANKUNDRAM","2","Andamaan",""
"03c7814f-e06f-4604-b3e5-63571bd7ad43","20","Madurai","5","MADURAI EAST","7","ELAMANUR","5","Pottapanaiyur",""
"03d9be65-b09f-4eca-8f23-9ad51cc3b50d","20","Madurai","9","T.KALLUPATTI","42","VELAMPUR","3","V.chatrapatti",""
"03f9cbfa-8d63-4c6c-967a-cd6535f7b7f2","20","Madurai","4","Kottampatti","9","KATCHIRAYANPATTI","11","Pappankulapatti",""
"042ad8ed-7097-44c8-a783-b3b3dcfcfa8e","20","Madurai","7","Melur","32","URANGANPATTI","12","Thampattamalaipatti",""
"042e087b-2a09-4bad-a8ab-2d646626ba70","20","Madurai","12","USILAMPATTI","16","UTHAPPANAYAKANUR","3","Kuluthupatti",""
"04c77850-1f03-459a-bf73-b83fec8e8f53","20","Madurai","11","THIRUPPARANKUNDRAM","36","VILACHERI","8","Muslim nagar south",""
"04ccab99-57b7-444b-bc6e-7e03050d8cbb","20","Madurai","9","T.KALLUPATTI","19","NALLAMARAM","3","N.muthulingapuram",""
"04d74e7d-0435-4e85-91f1-3bea21ec2844","20","Madurai","13","VADIPATTI","19","SITHALANGUDI","3","Thattangulam",""
"04fe2cc8-35b8-4904-9c57-0172a1f1c06a","20","Madurai","2","Chellampatti","17","POOTHIPURAM","2","Aathi dhiravidar colony (West)",""
"052d6a59-1c3a-4ae5-9966-630db41be722","20","Madurai","12","USILAMPATTI","17","VADUGAPATTI","8","Vadukapatti",""
"054001f6-320d-46c3-9d8a-0d3082cb9bbc","20","Madurai","10","Thirumangalam","29","SOWDARPATTY","7","Sokkalingapuram",""
"0546a626-c00d-426e-8fe6-9cc1b7587725","20","Madurai","12","USILAMPATTI","16","UTHAPPANAYAKANUR","2","Kamaraj nagar",""
"055a972d-818b-4e46-b2f3-3d1b5cf40bc7","20","Madurai","4","Kottampatti","8","KARUNGALAKUDY","7","Savarapatti",""
"05756c52-407b-458f-9813-c895c880ceea","20","Madurai","2","Chellampatti","6","KARUMATHUR","21","Pulithevanaptti",""
"058eb634-d7fa-45dd-a251-00ae8cf717bd","20","Madurai","12","USILAMPATTI","2","DOTTAPPANAIKANUR","2","Arovili nagar",""
"05f7ed6c-80a2-4772-8307-c0a9d0006bc9","20","Madurai","8","SEDAPATTI","2","ATHIKARIPATTI","2","Avalcheri",""
"06058481-63b6-4adb-a51f-7f54bf3c99fc","20","Madurai","4","Kottampatti","21","SENNAKARAMPATTI","4","Kamaksipatti",""
"0630780f-21f6-4a32-9945-76973180cb29","20","Madurai","5","MADURAI EAST","16","KUNNATHUR","2","Alavanthan",""
"06664a40-3d11-498e-adac-e584dba56549","20","Madurai","7","Melur","16","KURICHIPATTI","2","Alampatti",""
"069cc89d-c176-4e90-aeab-64f5757b0204","20","Madurai","11","THIRUPPARANKUNDRAM","3","KARADIPATTY","6","Karadipatty",""
"069cd85e-3397-44bc-9995-e74491fcceca","20","Madurai","4","Kottampatti","7","KAMBUR","1","A.pudur",""
"06aaeb9a-da56-4536-8d7d-68e79c8568d1","20","Madurai","12","USILAMPATTI","9","NADUPATTI","13","Perumalkovilpatti",""
"0721795c-05ba-438b-aa87-880d9da1134c","20","Madurai","7","Melur","32","URANGANPATTI","9","Pudupatti",""
"0721852f-5b0f-490f-841c-ad87fa0de99d","20","Madurai","4","Kottampatti","25","THUMBAIPATTI","5","Salakkipatti",""
"076535be-a0ab-42b1-8715-06e7d06b4223","20","Madurai","9","T.KALLUPATTI","10","KENJAMPATTY","1","Aathanoor",""
"07c14221-29f0-453f-a7f7-2e008bb102f7","20","Madurai","4","Kottampatti","7","KAMBUR","5","Kambur",""
"07cd4e63-37cf-4603-9ce2-b6ed8fc30b6f","20","Madurai","6","MADURAI WEST","9","ERANIUM","2","Eranium",""
"07d4fd37-36b9-49a3-b707-03d5ebd8d92e","20","Madurai","5","MADURAI EAST","12","KALLANDIRI","4","Anna nagar",""
"07dd4107-0f7a-4113-be78-ebe5b30c0b1d","20","Madurai","10","Thirumangalam","5","K. PULIYANGKULAM","4","Nagamalaipuram",""
