"id","code","name","createdBy","createdDate","lastModifiedBy","lastModifiedDate","district_id"
"0bd8e450-e2ca-42b7-adcf-34ccd7f01267",5962,"THIRUPPARANKUNDRAM","Harihara","2022-06-18 11:26:49.433292+00","","2022-06-18 11:26:49.433292+00","f3496cc3-e9dc-4e57-b5f1-9bd730e087a7"
"187f1ada-2d9a-4aeb-8fa5-b943e15d8cdd",5838,"Usilampatti","Harihara","2022-05-07 02:10:15.054738+00","Harihara","2022-06-18 11:25:22.686062+00","f3496cc3-e9dc-4e57-b5f1-9bd730e087a7"
"89ff0736-b9ba-4f2d-a28d-81b9ec48fdb9",5835,"Melur","Harihara","2022-05-07 02:07:32.467026+00","Harihara","2022-06-18 11:24:52.728472+00","f3496cc3-e9dc-4e57-b5f1-9bd730e087a7"
"b4f372cc-8c6c-48f9-9c08-4c6cfcab6587",5839,"Peraiyur","Harihara","2022-05-07 02:13:17.684656+00","Harihara","2022-06-18 11:25:02.791806+00","f3496cc3-e9dc-4e57-b5f1-9bd730e087a7"
"c0f60e95-fab4-4ae6-8372-d6894bfd5e00",6615,"Kalligudi","Harihara","2022-06-18 11:25:45.640402+00","","2022-06-18 11:25:45.640402+00","f3496cc3-e9dc-4e57-b5f1-9bd730e087a7"
"d3870e80-21b3-4cda-971d-c3d83cc48994",5961,"MADURAI WEST","Harihara","2022-06-18 11:26:28.401165+00","","2022-06-18 11:26:28.401165+00","f3496cc3-e9dc-4e57-b5f1-9bd730e087a7"
"df7e2343-0109-4eb4-8626-dd4b1285e1bf",5836,"Madurai North","Harihara","2022-05-07 02:13:01.78365+00","Harihara","2022-06-18 11:24:22.35698+00","f3496cc3-e9dc-4e57-b5f1-9bd730e087a7"
"e4755f27-5fed-4b3f-90a0-97cf5be10ba6",5960,"MADURAI EAST","Harihara","2022-06-18 11:26:09.648997+00","","2022-06-18 11:26:09.648997+00","f3496cc3-e9dc-4e57-b5f1-9bd730e087a7"
"ed6389b6-e158-44a1-953b-326718de516e",5841,"Madurai South","Harihara","2022-05-07 02:11:51.016161+00","Harihara","2022-06-18 11:24:41.007568+00","f3496cc3-e9dc-4e57-b5f1-9bd730e087a7"
"f0bf5e1e-eeb1-4bc6-a189-a87839341d29",5840,"Thirumangalam","Harihara","2022-05-07 02:11:32.807726+00","Harihara","2022-06-18 11:25:12.76878+00","f3496cc3-e9dc-4e57-b5f1-9bd730e087a7"
"fb6cbe1c-9b79-45c1-b19d-cbcbf31fce2a",5837,"Vadipatti","Harihara","2022-05-07 02:13:10.467673+00","Harihara","2022-06-18 11:25:29.437256+00","f3496cc3-e9dc-4e57-b5f1-9bd730e087a7"
