"id","TypeCode","Type","Name","WardCode","Ward","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"00e4079a-7e18-43c7-a5fb-79735a741b5a","1","Town Panchayat","Vilangudi (TP)","20CT2202W","Vilangudi (TP) WARD NO.-0002","System","2022-10-15 10:04:26.49793+00","","2022-10-15 10:04:26.49793+00"
"01c7362c-2bed-4a63-8eeb-b34d0699927b","1","Town Panchayat","A.Vellalapatti (TP)","20TP01011W","A.Vellalapatti (TP) WARD NO.-0011","System","2022-10-15 10:04:26.49793+00","","2022-10-15 10:04:26.49793+00"
"026f3e8d-dae5-43b3-a72a-8289f11730a9","2","Municipality","Melur (M)","20MU0123W","Melur (M) WARD NO.-0022","System","2022-10-15 10:04:26.500918+00","","2022-10-15 10:04:26.500918+00"
"03383fd2-fd22-4fbe-83de-3f2cb0dfb142","2","Municipality","Melur (M)","20MU0122W","Melur (M) WARD NO.-0021","System","2022-10-15 10:04:26.500918+00","","2022-10-15 10:04:26.500918+00"
"04d87643-3ea5-4d71-ae49-ebf54ee6b761","1","Town Panchayat","Silaiman (CT)","20CT1601W","Silaiman (CT) WARD NO.-0001","System","2022-10-15 10:04:26.500918+00","","2022-10-15 10:04:26.500918+00"
"0553e3fa-568d-431c-8d64-726733c42422","3","Corporation","Zone 5- West","20MC0198W","Madurai (M Corp.) WARD NO.-0098","System","2022-10-15 10:04:26.502928+00","","2022-10-15 10:04:26.502928+00"
"0667ccdf-2c43-4385-8310-804bca7c0890","1","Town Panchayat","Elumalai (TP)","20TP0313W","Elumalai (TP) WARD NO.-0013","System","2022-10-15 10:04:26.499928+00","","2022-10-15 10:04:26.499928+00"
"0714fb0b-835b-4ae1-a606-a22deb86417c","2","Municipality","Usilampatti (M)","20MU0305W","Usilampatti (M) WARD NO.-0005","System","2022-10-15 10:04:26.500918+00","","2022-10-15 10:04:26.500918+00"
"0900fc6f-3172-4ccf-8c0e-d91a8371d8d4","2","Municipality","Usilampatti (M)","20MU0308W","Usilampatti (M) WARD NO.-0008","System","2022-10-15 10:04:26.500918+00","","2022-10-15 10:04:26.500918+00"
"091de6d8-e5f9-4296-b145-054f654d531e","1","Town Panchayat","Alanganallur (TP)","20TP0206W","Alanganallur (TP) WARD NO.-0006","System","2022-10-15 10:04:26.498924+00","","2022-10-15 10:04:26.498924+00"
"0a0657cc-8a1b-495d-9131-0df60d83f599","2","Municipality","Melur (M)","20MU0120W","Melur (M) WARD NO.-0019","System","2022-10-15 10:04:26.500918+00","","2022-10-15 10:04:26.500918+00"
"0b5d21a2-ac69-4fe1-88e6-e43424cf6f1a","3","Corporation","Zone  1- East","20MC0109W","Madurai (M Corp.) WARD NO.-0009","System","2022-10-15 10:04:26.501845+00","","2022-10-15 10:04:26.501845+00"
"0b61c898-00d3-43e4-8d56-7ce4725d5d02","1","Town Panchayat","Peraiyur (TP)","20TP0609W","Peraiyur (TP) WARD NO.-0009","System","2022-10-15 10:04:26.499928+00","","2022-10-15 10:04:26.499928+00"
"0ca57bf0-a281-4242-80f0-8fec8c7ca804","1","Town Panchayat","Vilangudi (TP)","20CT2201W","Vilangudi (TP) WARD NO.-0001","System","2022-10-15 10:04:26.49793+00","","2022-10-15 10:04:26.49793+00"
"0cff7562-382f-4de5-ac62-84d2864f37fe","3","Corporation","Zone 2-  North","20MC0166W","Madurai (M Corp.) WARD NO.-0066","System","2022-10-15 10:04:26.501845+00","","2022-10-15 10:04:26.501845+00"
"0da39e8f-56d4-4730-bf1b-b635f704e827","1","Town Panchayat","Alanganallur (TP)","20TP02011W","Alanganallur (TP) WARD NO.-0011","System","2022-10-15 10:04:26.498924+00","","2022-10-15 10:04:26.498924+00"
"0e443c66-3551-48ac-89be-8232fbc37823","2","Municipality","Usilampatti (M)","20MU0301W","Usilampatti (M) WARD NO.-0001","System","2022-10-15 10:04:26.500918+00","","2022-10-15 10:04:26.500918+00"
"0eb419fd-ea4b-4a11-828f-67deae5e36aa","1","Town Panchayat","Vilacheri (CT)","20CT2101W","Vilacheri (CT) WARD NO.-0001","System","2022-10-15 10:04:26.499928+00","","2022-10-15 10:04:26.499928+00"
